 @RELATION wicked

@ATTRIBUTE document STRING
@ATTRIBUTE class {Yes, no}

@DATA
"تحميل برنامج اختراق الواي فاي مجانا",Yes
"برنامج اختراق الفيس بوك بضغطة زر واحدة",Yes
"برنامج لتهكير الآلعاب بكل سلاسة",Yes
"برنامج اختراق الرواتر واي فاي",Yes
"تحميل برنامج كشف باسورد شبكات الوايرليس",Yes
"برامج لحماية شبكة الواي فاي",no
"دورات منظمة الهكر العالمية",Yes
"خطوات لكي تحمي شبكتك حماية حقيقية من أخطار التهديدات",no
"دراسة حماية شبكات الحاسوب و محاكاتها باستخدام الجدار الناري",no
"برنامج حماية الراوتر و شبكة الانترنت من السرقة",no
"برنامج لحماية الانترنت من السرقة",no
"برنامج اختراق الشبكات الوايرليس و استرجاع الباسوررد",Yes
"تحميل برنامج حذف ملفات التجسس",no
"كيف تحمي جهازك من الاختراقات الأمنية",no
"للحماية ضد الاختراق و التجسس مجانا",no
"حماية شبكة الواي فاي من الاختراق و سرقة الانترنت",no
"وضع كلمة سر قوية لشكبة الواي فاي",no
"يسرق كلمة السر لبريدك الالكتروني عن طريق رسالة تصلك للبريد",no
"كيفية اكتشاف من يسرق الانترنت منك عبر شبكة واي فاي الخاصة بك باستخدام برنامج",no
"برنامج اختراق الراوتر, كيفية اختراق الراوتر برنامج اختراق الوايرليس",Yes
"لاختراق كل انواع الراوترات في العالم",Yes
"تحميل أفضل برنامج حماية ضد التجسس و الاختراق",no
"فهذا البرنامج يحميك  من التجسس",no
"برامج لمكافحة ملفات التجسس",no
"برنامج كشف ملفات التجسس",no
"برنامج مكافحة ملفات التجسس",no
"برنامج لازالة ملفات التجسس",no
"برنامج الحماية",no
"للحماية ضد الاختراق و التجسس",no
"اقوى برامج الحماية و افضلها",no
"البرنامج يعد من اقوى برامج الحماية من التجسس و الاختراق",no
"البرنامج يفرض الحماية الكاملة على الجهاز",no
"البرنامج يفحص أي ملف كان داخل النظام و ذلك من اجل عدم اختراق الجهاز",no
"من اجل عدم تسلل أي هاكرز على الجهاز",no
"البرنامج يسد أي ثغرة موجودة داخل جهاز الكمبيوتر و شبكة الانترنيت",no
"تحميل برنامج الحماية",no
"تحميل برنامج مضاد للفايروسات",no
"حميل برنامج حجب الصور الإباحية و المواقع",no
"برامج حماية",no
"برنامج مضاد فيروسات",no
"أفضل طريقة للحماية من الإختراقات و القرصنة",no
"إذا كنت تريد الحماية تبع الطرق الآتية",no
"حماية جهازك",no
"التعريف العام بالإختراق و طرقه و انواعه و كيفية التصدي له",no
"إنشاء الحماية",no
"برامج الحماية لأداء مهامها و يمكن تصنيف هذه الطرق",no
"البرامج المستخدمه للحماية",no
"اهم و اقوى وسائل و طرق للحماية",no
"البرامج المستخدمة للحماية",no
"بعض اشهر البرامج المستخدمة للحماية",no
"بالحماية من المخترقين",no
"حماية بياناتك من التجسس و السرقة و الضياع على أندرويد",no
"معرفة كيفية حماية هاتفك",no
"اذا كنت تريد منع المخترقين",no
"كيف تسترجع صفحتك على الفيسبوك حتى",no
"إنسى ان يتم إختراق صفحتك",no
"قبل ان يتم إختراقك",no
"كيف تحمي نفسك",no
"و كيف تحمي نفسك",no
"درس اليوم سأقدم لك طريقة للتجسس على اي هاتف عن بعد و بالمجان",no
"كيف تمنع الهكرز من إختراقك",no
"انواع الهكر و كيفية التخلص و الحماية",no
"كيف اعرف ان حسابي على الفيس بوك تم اختراقه",no
"كيف اعرف ان حسابي في الفيس بوك مخترق",no
"كيف اعرف ان حساب الفيس بوك مخترق",no
"كيف اعرف انه تم اختراق الفيس بوك",no
"تم اختراق حسابي في الفيس بوك",no
"كيف اعرف ان حسابي بالفيس مخترق",no
"كيف تعرف ان حساب الفيس بوك مخترق",no
"كيف تعرف ان حسابك في الفيس بوك مخترق",no
"معرفة اختراق الفيس بوك",no
"كيف اعرف ان حسابي في الفيس بوك مهكر كيف تامن نفسك",no
"نصائح هامة لحماية حساب فيسبوك من الإختراق",no
"كيف تحمي حسابك علي فيس بوك من الاختراق و الهكر ",no
"حماية حساب  فيسبوك من الإختراق",no
"كيف تحمي نفسك من الاختراق",no
"حتى لايتم اختراقك",no
"تعلم كيف تحمي نفسك",no
"كيف تمنع الهكرز من الاختراق",no
"كيف تحمي جهازك من الاختراق",no
"كيفية حماية الجهاز من الهاكرز و الاختراق",no
"كيفية التصرف في حال تم اختراق الجهاز",no
"كيف تحمي جهازك من الاختراق",no
"كيف تحمي جهازك من الإختراق",no
"تجنب المواقع الغريبة",no
"تأكد من تشغيل الجدار الناري",no
"طريقة الحماية من هكر",no
"كيف يتمكن الهاكر من الدخول الى جهازك",no
"كيف يتمكن الهاكر من الدخول الى جهاز",no
"كسر باسورد",Yes
"مع شرح الحماية",no
"لتفادي الاختراق و منع اي تجسس",no
"كيفية حماية حسابك",no
"طريقة حماية حساب الفيس بوك من السرقة",no
"حماية بياناتك من التجسس و السرقة ",no
"برنامج سيعطي حماية اضافه لك اثناء محادثاتك",no
"الكشف عن ملفات التجسس",no
"كيف تحمي جهازك من الهكر و الإختراق",no
"حماية من الهاكرز و التجسس",no
"كيف تحمي جهازك من الاختراق و التجسس",no
"من اجل عدم دخول الهاكرز",no
"برامج يحميك من التجسس",no
"كيف تحمي معلوماتك",no
"مكافحة ملفات التجسس",no
"تأمين الحساب",no
"تحمي اجهزتك من التجسس او الاختراق",no
"فحص جميع البورتات المشهورة و المعروفة للاختراق",no
"طريقة اقفال اخطر البورتات المفتوحة لديك بالجهاز",no
"برنامج معرفة باسورد الشبكات الوايرلس",Yes
"برنامج لكسر باسورد الملفات المضغوط ",Yes
"برامج اختراق البريد و الايميلات",Yes
" متخصص بجديد الثغرات و اختراق المواقع و الاجهزة",Yes
"برنامج لاختراق حساب الفيس بوك",Yes
"طلب المساعدة لاختراق موقع او بريد إلكتروني",Yes
"دورة اختراق المواقع‎",Yes
"دورة إختراق الأجهزة",Yes
"منتدى الإختراق العام",Yes
"للحماية ضد الاختراق و التجسس",no
"قسم إندكسات الإختراق",Yes
"تعلم اختراق الفيس بوك إذهب إلى آخر مشاركة",Yes
"منتدى إختراق البريد و الايميلات",Yes
"قسم مختص بكل ما يتعلق بـ اختراق الايميل من هكر الايميل و برامج هكر الايميل و شروحات اختراق الايميل",Yes
"برامج اختراق الايميل",Yes
"برنامج سرقة حساب",Yes
"أدوات اختراق الاجهزة و الدمج",Yes
"شروحات اختراق الاجهزة و برامج اختراق الاجهزة و برامج التشفير",Yes
"قسم اختراق الشبكات",Yes
"الطرق و البرامج الخاصه باختراق الشبكات و التجسس عليها و معرفة معلومات عنها و طرق كثيرة",Yes
"البرنامج يسد أي ثغرة موجودة داخل جهاز  و شبكة الانترنيت",no
"تحميل برنامج الحماية",no
"تحميل برنامج مضاد للفايروسات",no
"هذا القسم مختص بتعليم الإختراق",Yes
"منتدى إختراق المنتديات",Yes
"منتدى مختص فقط ببرامج الهكر و الأسطوانات الخاصة بالإختراق",Yes
"يوضع هنا الانجازات و القدرات التي يتباهي بها الهاكرز مثل اختراق مواقع و اجهزة و تدمير سيرفرات و وضع شروحات نادرة جدا و مكتشفة فقط من لاعضاء",Yes
"منتدى مختص بجميع انواع الفيروسات و ملفات التجسس و كيفية صناعتها",Yes
"دورة إختراق الأجهزة الإحترافية",Yes
"قسم دورة إختراق البريد الإحترافية",Yes
"شرح إختراق الإيميل",Yes
"كتب في الاختراق",Yes
"قسم يتضمن أفضل الدورات الإحترافية في عالم الإختراق",Yes
"اختراق الاجهزة",Yes
"اختراق المواقعو السيرفرات",Yes
"اختراق جميع انواع شبكات",Yes
"الان اخترق الشبكات المصابة بثغرة",Yes
"قسم مختص في المواضيع المتعلقة بدورة اختراق المواقع المقدمة من قبل جيوش الهكرز لتعليم اختراق المواقع",Yes
"اقوى اسطوانة برامج في تاريخ الهكرز",Yes
"افضل الادوات لاختراق المواقع",Yes
"أكبر منتدى هكر عربي متخصص بجديد الثغرات و اختراق المواقع و الأجهزة",Yes
"اختراق الاجهزة هو قسم مختص بتعليم فنون اختراق الاجهزة  يخص اختراق الاجهزة و التجسس عليها",Yes
"شروحات اختراق المواقع هو قسم يختص بشروحات اختراق المواقعو السيرفرات للوصول إلى معلومات محمية او تغيير محتوى المواقع",Yes
"شروحات عن كيفية أكتشاف الثغرات و أستغلالها",Yes
"كيف اعرف ان حسابي بالفيس مخترق",no
"قسم البرامج هو قسم مختص باحدث اخبار البرامج و تحميل البرامج و شروحات برامج الهكرز",Yes
"قسم مختص بجميع انواع الفيروسات و ملفات التجسس و صناعة الملفات الملغومة",Yes
"شروحات برامج الحماية الخاصية بالأجهزه يمنع طرح برامج او طرق الحمايه في قسم اخر",no
"كل ما يتعلق بحمايه المنتديات و المواقعو السيرفرات و سد جميع ثغرات الموجودة",no
"دورة أحترافية في أختراق",Yes
"جميع طرق و عمليات اختراق",Yes
"اختراق الشبكات الاسلكية و فك الشفرات و اختراق",Yes
"هذا المنتدى يهتم بجميع طرق عمليات الاختراق",Yes
"سوف نعلمك الهكر",Yes
"دورة اختراق المواقعو السيرفرات اكثر من رائعة",Yes
"برنامج تهكير حساب ",Yes
"كيفيه اختراق المواقع عن طريق الدوس باحتراف",Yes
"عالم الاختراق",Yes
"برنامج سارق لايميلات",Yes
"اهم  موقع للصفحات المزورة",Yes
"هنا القسم الخاص بختراق الايميل و الفيس و طرقه و الخدع",Yes
"هنا اختَراق المنتديات و المواقع و جميع الثغرات و طرق استغلاله ",Yes
"طرق الحماية منه و كيف تعمل فايروس  مع دروس بالحماية و التحصين من الهكر",no
"دورة مهمة جدا اختراق المواقع و السرفيرات",Yes
"الان و حصريـاً دورة اختراق الأجهزة",Yes
"قـسـم إخـتـراق الـمـواقـع و الشبكات",Yes
"أضخم دورة لتعليم أختراق المواقعو السيرفرات",Yes
"قـسـم أدوات و اندكـسات الإختراق",Yes
"مدرسة هكر الجحيم الأخلاقية",Yes
"قسم خاص بالهكر",Yes
"موقعين لكسر تشفير شبكات الوايرلس",Yes
"طريقة أختراق الفيس بوك",Yes
"طريقة اختراق الفيس بوك عن طريق الصفحات المزورة بفكرة جديدة",Yes
"أفضل تطبيقات أندرويد لفك تشفير شبكات الوايرلس  لآختراق الواي فاي",Yes
"طريقة اختراق الفيس بوك عن طريق الصفحات المزورة و لاكن طريقه جديدة و أحترافيه",Yes
"كيف تصبح هكر محترف",Yes
"هل تعلم كيف تصبح هكر  تعلم  اولا اساسيات القرصنة",Yes
"تعلم اولا اختراق الحسابات  ثم اختراق الاجهزة ثم اختراق المواقع",Yes
"صناعة الفيروسات و حتى البسيطة منها كي تفهم عملها",Yes
"كيف تكتب مثل الهاكرز بكل بساطة و سهولة تعلم كتابة",Yes
"طريقك نحو احتراف الهكر",Yes
"كتاب يتحدث عن أساسيات الاختراق و عن اختبار الاختراق",Yes
"أفضل تطبيقات أندرويد لفك تشفير شبكات الوايرلس لآختراق الواي فاي",Yes
"تدمير المواقع بدون برامج",Yes
"برنامج تدمير المواقع",Yes
"الدليل الكامل لإختراق سيرفر",Yes
"تدريب على عملية الإختراق بواسطة اليونيكود",Yes
"شرح مفصل لكيفية اختراق المواقع المجانية",Yes
"الطريقة الصحيحة والمثلى في اختراق المواقع",Yes
"درس لإحتراف الهاك في اختراق المواقع",Yes
"شرح مفصل من الألف إلى الياء في احتراف اختراق المواقع",Yes
"تمتع بإختراق المواقع",Yes
"درس مفصل عن كيفية اختراق المنتديات",Yes
"أفضل المنتديات و المواقع العربية للهاك",Yes
"نصائح  هامة لحماية حساب فيسبوك من الإختراق",no
"كيف تحمي حسابك علي فيس بوك من الاختراق و الهكر و القراصنة  هنا سوف أشرح لك افضل طرق حماية حساب الفيسبوك من اختراقه",no
"الاساليب الأمنيّة لمساعدتك علي تجنب اخترق حسابك و الحفاظ علي معلوماتك الشخصية من التجسس",no
"حماية بريدك الإلكتروني الذي تستخدمه للدخول في الفيسبوك",no
"يجب أن تكون كلمة السر في  حسابك على الفيس بوك قوية حتي لا يتم اختراقك",no
"لحماية حسابك في الفيسبوك من الاختراق",no
"نصائح هامة لحماية  حساب فيسبوك  من الإختراق",no
"اهم خطوات حماية الاستضافة و  تأمين موقعك الإلكتروني",no
"تنصيب برامج حماية قوية  و اصلية للحصول على حماية مضاعفة لحسابك",no
"خطوات أساسية لحماية المواقع الإلكترونية  من الإختراق",no
"تأمين موقعك   باستخدام",no
"تشفير  البيانات التي يتم  تبادلها لحمايتها من التنصّت",no
"تأمين موقعك باستخدام",no
"خدمات إدارة المواقع الالكترونية",no
"ستغلق على الهاكر عدد كبير من الثغرات التي قد يستغلها في إختراق الموقع",no
"دليل حماية منتجاتك الالكترونية من القرصنة على الويب",no
"كيف تتجنب سرقة حسابك عبر الفيس بوك و طريقة للوقاية وتجنب الاختراق",no
"تحميل كتاب عالم الهكر مجاناً",Yes
"حماية شبكتهم و اجهزتهم",no
"لحمايه شبكه الواى فاى من الاختراق",no
"برنامج يقوم بحماية شبكة الويفي الخاصة بك من الاختراق",no
"يقوم بحماية خصوصيتك من خلال اخفاء الاي بي",no
"أمن المواقع  و الشبكات",no
"قسم برامج و شروحات الهكر",Yes
"شروحات عن  هكر الخاصة",Yes
"برامج هكر برامج اختراق برامج تهكير جيوش الهكر برامج هكر اقوى برامج العالم",Yes
"برامج هكر   برامج اختراق   برامج تهكير , جيش الهكرز   برامج هكرز اقوى برامج اختراق",Yes
"برامج هكر  جديده",Yes
"ادوات اختراق المواقع و السيرفرات",Yes
"برنامج كشف ملفات التجسس",no
"منـظمـة الإخـتـراق العالمية",Yes
"جميع طرق و عمليات اختراق الأيميل صفحات مزورة",Yes
"طريقة كسر كلمة السر لنظام التشغيل",Yes
"إختراق باسورد الفيس بوك عن طريق الإضافة إلى قائمة الأصدقاء",Yes
"كيفية استخراج جميع الباسوردات التي تم كتبها في الجهاز",Yes
"كيف تستخدم شبكة الواى فاى   الخاصة بجيرانك",Yes
"اقوى تطبيقات الاندرويد لفك تشفير شبكات الواير ليس",Yes
"تحميل تطبيق معرفة كلمة سر الوايرلس",Yes
 "تحميل تطبيق  لفك شفرة",Yes
"شرح اختراق المواقع و المنتديات بدون برامج",Yes
"شبكة الصاعقة العربية لتعليم الهكرز",Yes
"قسم إختراق المواقع و المنتديات",Yes
"تدمير موقع بدون برنامج",Yes
"طريقة اختراق المواقع في الخمس دقائق",Yes
"كيفية اختراق المواقع الإلكترونية بثغرة",Yes
"كيف يمكنك فك قفل الواى فاى بواسطة هاتف اندرويد",Yes
"تحميل برنامج كسر كلمة السر للوايرلس لجوالات الاندرويد",Yes
"افضل تطبيق مجاني للحصول على باسورد نقاط الواي فاي القريبة منك",Yes
"تحميل برنامج اختراق الوايرلس و برنامج فتح قفل الواى فاى للاندرويد مجانا",Yes
"حميل برنامج كسر كلمة السر للوايرلس لجوالات الاندرويد",Yes
"تحميل البرنامج الذى يستطيع فك قفل الواى فاى للاندرويد مجانا",Yes
"تحميل برنامج قفل الواى فاى بواسطة هاتف اندرويد",Yes
"تحميل برنامج واى فاى  واحد مجانى  و مباشر",Yes
"سوف نريكم كيفية إختراق مواقع بدون برامج",Yes
"نجد كلمة السر مشفرة فنفك تشفيرها",Yes
"اكبر منتدى هكر عربي متخصص بجديد الثغرات و اختراق المواقع و الاجهزة",Yes
"قسم اختراق المواقع هو قسم مختص بتعليم فنون اختراق المواقع و الدمج و التشفير",Yes
"اقوي برنامج على الاطلاق لسرقه باسورد الفيس بوك بدون تعب و لا تتخيل السرعه الفائقه",Yes
"تحميل برنامج اختراق الواي فاي مجانا",Yes
"برنامج اختراق الفيس بوك بضغطة زر واحدة",Yes
"برنامج لتهكير الآلعاب بكل سلاسة",Yes
"برنامج اختراق الرواتر واي فاي",Yes
"تحميل برنامج كشف باسورد شبكات الوايرليس",Yes
"برامج لحماية شبكة الواي قاي",Yes
"دورات منظمة الهكر العالمية",Yes
"خطوات لكي تحمي شبكتك حماية حقيقية من أخطار التهديدات",no
"دراسة حماية شبكات الحاسوب و محاكاتها باستخدام الجدار الناري",no
"برنامج حماية الراوتر و شبكة الانترنت من السرقة",no
"برنامج لحماية الانترنت من السرقة",no
"برنامج اختراق الشبكات الوايرليس و استرجاع الباسورد",Yes
"تحميل برنامج حذف ملفات التجسس",no
"كيف تحمي جهازك من الاختراقات الأمنية",no
"للحماية ضد الاختراق و التجسس مجانا",no
"طريقة اختراق الهوتميل سهله جدا بدون برامج",Yes
"كيفية سرقة ايميل هوتميل",Yes
"مواقع لصناعة الصفاحات المزورة",Yes
"اختراق ايميل الهوتميل بدون برنامج رائع",Yes
"و سيلة سهلة و بسيطة لاختراق بريد الهوتميل",Yes
"حيل العجيب لاختراق بريد هوتميل",Yes
"اختراق باسوورد الواير لس فتح باسوورد وايرلس باسوورد الوايرلس اختراق الوايرلس طريقة فتح وايرلس بدون كلمة سر",Yes
"البرامج قمبلة فك تشفير ارقام الراوتر",Yes
"معرفة الرقم السري لاي راوتر",Yes
"برنامج لكشف الباسوورد و اليوزر للشبكات المحلية",Yes
"كيف يتم تحطيم مراكز الارهاب الالكتروني",no
"هذه تجربة للبرنامج و قد تعرف على كلمة السر لشبكة الويفي",Yes
"احذروا فأنتم معرضون للإختراق بسبب هذه الثغرة الخطيرة",no
"تعلم الهكر من الالف الى الياء",Yes
"تعلم الهاكر خطوة بخطوة مع اقوى هاكر عربي",Yes
"إحتراف الإختراق",Yes
"جموعة من المواقع المساعدة التي يحتاجها كل هكر مبتدأ لطريقه نحو الاحتراف",Yes
"اختراق الاجـهـزه    يهتم باختراق الاجهزة حسابات  الايميلات",Yes
"هل تريد أن تعرف أن جهازك قد اخترق أو لا من قبل الهكرز و المتطفلين",no
"معلومات هامة جدا عن الاختراق و كيفية التعامل  معه",no
"كيف تحمي هاتف الاندرويد من التجسس و السرقة و الضياع",no
"كيف تتخلص من بياناتك بطريقة أمنة قبل بيع هاتف",no
"شرح عملي للاختراق خطوه بخطوه",Yes
" شرح الطريقه العمليه للاختراق",Yes
"مكتبة الهكر الكامل اكثر من مليون برنامج هكر مميز و مختبره",Yes
"سرقة كلمة سر البريد و كلمات السر بشكل عام",Yes
"لسرقة أي باسوورد في جهاز الضحية",Yes
"تروجان متقدم للتجسس و سرقة كلمات السر",Yes
"كل ما يلزمك من برامج في الهكر ستجده هنا",Yes
"افضل و اقوى برنامج لضرب المواقع",Yes
"اقوى برنامج تجسس على ما يكتبه الضحيه",Yes
"اقوى برنامج تجسس على لوحه المفاتيح",Yes
"برنامج التجسس على الكاميرا",Yes
"برنامج التجسس على الايميل الماسنجر",Yes
"كيفية اختراق المواقع خطوة بخطوة",Yes
"ما هي الطرق التي تستخدم في اختراق المواقع و البريد الإلكتروني",Yes
"هناك طرق عديدة لإختراق المواقع و هي",Yes
"اختراق باسورد الفس بوك عن طريق الاضافة الى القائمة الاصدقاء",Yes
"اول سلسلة من سلسلة تعليم الهكر للمبتدئين",Yes
"تعليم الهكر للمبتدئين, تعلم الهكر من الصفر الى الاحتراف",Yes
"يستخدم لكشف كلمات السر الموضوعه على الباتشات",Yes
"تعليم الهكر و الأحتراف كيفية اختراق المواقع و المنتديات للمبتدئين",Yes
"اساسيات اختراق للمبتدئين",Yes
"نتكلم  عن  تعليم  اختراق   المواقع   للمبتدئين   و المحترفين  فى  الاختراق",Yes
"لا بد أن تعرف اسم المستخدم و كلمة المرور الخاصة بالموقع",Yes
"تعلم اختراق المواقع و المنتديات",Yes
"اخترق اي حساب فيسبوك و احصل علي الرقم السري فورا",Yes
"البحث عن الثغرات في الموقع المراد اختراق",Yes
"اخرج باسورد الأدمن   و تمتع بالإختراق",Yes
"درس تعليم اختراق المواقع للمبتدئين شرح مفصل",Yes
"اختراق المواقع و الحصول على  الباسورد و الدخول الى ملفات الموقع",Yes
"منتديات إختراق المواقع و السيرفرات و الأجهزة",Yes
"اسهل طريقة للدخول الي قاعدة بيانات اي موقع",Yes
"شرح اختراق الايميل عن طريق شاشة الدوس  بدون برنامج",Yes
"بحث عن الثغرات في المواقع المراد اختراق",Yes
"اختراق المواقع بالتفصيل الممل كيفية اختراق",Yes
"اختراق مواقع بدون برنامج",Yes
"امن و حماية تطبيقات الويب",no
"أمن و حماية الهواتف الذكية",no
"مراقبة السيرفرات و حمايتها يعتبر من أهم الأمور التي تهم  مدير النظام و تأخذ من وقته الكثير في محاولة لتحسين حماية السيرفرات",no
"أمن و حماية السيرفرات",no
"شرح حماية الجهاز من الاختراق و تحدي اكبر هكر في العالم",no
"كيف تحمي نفسك من الاختراق المتقدم",no
"كيف تقوم بتحديث متصفحك و حمايته من الفايروسات و الثغرات التي تهدد جهازك",no
"نصائح لحماية منتداك من الاختراق",no
"موضوع اليوم عن طريقة حماية منتداك أو موقعك من الهكر",no
"حماية حسابك على الفيس بوك من الفايروسات",no
"نصائح لحماية حسابك في تويتر من الاختراق",no
"طرق مضمونة لاستراجاع حساب الفيس بوك المخترق",no
"حماية خصوصيتك على الفيسبوك",no
"نصائح لاغنى عنها من اجل حماية حاسوبك",no
"هذا الموضوع عبارة عن تجميع لدورة الحماية من المخاطر و التهديدات عن طريق سد الثغرات الموجودة على الجهاز",no
" الكامل لتعليم الهاكر من البدايه  حتى النهاية ",Yes
"كتاب تعلم الهكر",Yes
"كتاب تعلم الاختراق",Yes
"كتاب الهكر للمبتدئين  كيف تصبح هكر من البداية إلى الإحتراف",Yes
"هذا الكتاب من افضل الكتب لتعلم احتراق الاختراق بكل ماتعنية الكلمة و الكثير من الهاكرز مهتمين بهذا الكتاب",Yes
"لكى تكون هكر طريقك الصحيح البدايه تعلم الاختراق  من الصفر ابدا من هنا",Yes
"علم اختراق الاجهزة من الصفر حتي الاختراق",Yes
"طريقة اختراق الاجهزة من الصفر حتى الأحتراف",Yes
"اكبر موقع عربي لتعليم فنون الاختراق",Yes
"قسم مختص بتحميل كتب هكر",Yes
"دورة إختراق الأجهزة",Yes
"دورة اختراق المواقع",Yes
"برامج الهكر و الأسطوانات الخاصة بالإختراق",Yes
"دورة كشف التلغيم",Yes
"هكر الايميل و شروحات اختراق الايميل و برامج اختراق الايميل",Yes
"ان تخترق جهاز الضحيه بأحد برامج الأختراق",Yes
"دروس تعليم الهكر للمبتدئين",Yes
"ملف البرنامج الرئيسي و هو الذي من خلاله سوف تقوم بأختراق جهاز الضحية",Yes
"أشهر أدوات و برامج هكرز الأجهزة",Yes
"ان هذا البرنامج عبارة عن اداة حماية مجانية صممت للكشف عن الملفات الخبيثة",no
"كل ماسبق ذكره يختص بهكرز الأجهزة بشكل عام",Yes
"كيف أعرف أن الجهاز مخترق و كيف احمي نفسي من الاختراق",no
"كيف أحمي نفسي من هذا النوع من الاختراقات",no
"اعطيكم الطرق الي انا اتبعها لتحمي نفسك",no
"اكبر هكر بالعالم مايقدر يخترقك و تكون محمي",no
"حماية جهاز الراوتر من الاختراق",no
"ماذا تفعل اذا كان جهازك مخترقا",no
"بكيفية حماية الجهاز من الهاكرز و الاختراق",no
"كيف تعرف هل الجهازك مخترق ام لا",no
"احذر من الرسائل المجهولة",no
"كيف تكشف بانك  مخترق  و  كيف تتخلص من برامج التجسس التي في جهازك",no
"ابتعد عن صفحات التحميل المجهولة",no
"سوف نشرح في هذا الدرس اربع طرق لحماية الراوتر من الاختراق",no
"طرق لحماية خصوصيتك في الانترنيت",no
"كيف تعرف من يسرق الانترنيت من شبكة الواي فاي الخاصة بك",no
"كشف من يسرق الانترنيت عن طريق برنامج",no
"حماية الراوتر الخاص بك من الاختراق",no
"معلومات عن كتاب عالم الهكر",Yes
"غرفة الهاكر و القرصنة",Yes
"اساسيات اختراق المواقع",Yes
"تعليم الهكر كتب تعليم الهكر تحميل كتب تعليم الهكر تحميل كتب تعلم الهاكر بالصور  كتب كيف تكون هاكر مميز",Yes
"تحميل كتب تعلم الهكر بالصورة",Yes
"دروس تعليم الهاك للمبتدئين",Yes
"ملوك الهكر أروع كتاب لتعلم الهاك",Yes
"تدريب على عملية الإختراق",Yes
"شرح مفصل لكيفية اختراق المواقع المجانية",Yes
"اختراق المواقع للمبتدئين",Yes
"ماذا يفعل الهكر بجهازك و كيفية التخلص منه",no
"ملفات التجسس التي تمكن الهكر من خلالها الاختراق دون الحاجه الى",Yes
"دورة تعليم الهكر من الصفر و الى الاحتراف",Yes
"طريقك الصحيح لبدايه تعلم الاختراق",Yes
"طريقة أختراق المنتدى و تغيير الاندكس و شل مجاني بالفيديو",Yes
"لتعليم الحماية لتأمين الأشخاص على الحاسب",no
"كتب تعليم الهكر كتب هكر و شرح الهكر",Yes
"يعانى من مشكلة الإختراق و تجسس الهاكرز",no
"الدروس لتعليم حماية موقعك من الاختراق",no
"البرامج المضادة للفيروسات",no
"حماية ضد الفيروسات",no
"لحماية من الفايروسات",no
"البرامج المضادة لفيروسات",no
"برامج مكافحة الفايروسات و الملفات الضارة بكافة أشكالها",no
"الحماية الخاصة من هجمات الهاكر و محاولات اختراق المواقع",no
"تحميل برنامج حماية من الفايروسات للكومبيوتر",no
"طرق حماية المنتديات من الإختراق",no
"طريقة حمـاية المنتدى من المتطفلين",no
"كيفية حماية الملفات و إخفائها بدون برامج",no
"حماية البيانات و كلمات المرور المخزونة على الفاير فوكس و تامينها ضد المتطفلين",no
"طريقة حماية كلمات السر و تسجيلات الدخول",no
"طريقة لحماية شبكة الوايرلس الخاصة بك من المتطفلين",no
"شرح حماية و تأمين شبكة الانترنت من الاختراق و حماية باسورد",no
"طريقه حمايه الراوتر الخاص بك من الاختراق عن طريق اغلاق ثغرة",no
"خطوات حماية جهازك من الاختراق",no
"دورة حماية الاجهزة من الاختراق",no
"دورة شاملة فيما يتعلق بحماية اجهزة الحاسب من قرصنة",no
"الحماية من الاختراق المتقدم تفعيل الجدار الناري",no
"تحميل أفضل و أحدث برنامج حماية",no
"سوف نشرح في هذا الدرس اربع طرق لحماية الراوتر من الاختراق",no
"أفضل البرامج لعمل جدار حماية ناري قوي لجهاز الكمبيوتر الخاص بك",no
"لتعليم الحماية لتأمين الأشخاص على الحاسب",no
"لحذف ملفات التجسس حماية الحاسبة من الهكرز",no
"الادوات المضاده للتجسس و الازعاج",no
"برنامجي مجاني لازالة كل برامج التجسس و فحص جهاز الكمبيوتر الخاص بك و تفحص النظام و حتى ايضا يزيل برامج التجسس المخفية",no
"برنامج جميل يقوم بالقضاء على برامج التجسس حيث اصبح بامكانك تصفح الانترنت بشكل امن و ايضا التخلص من الفيروسات",no
"ستخدم لمكافحة ملفات التجسس و لفحص أي جهاز من أي فيروس و البرمجيات الخبيثة",no
"من افضل برامج الحماية من ملفات التجسس و السرقة و ملفات الاختراق الخبيثة",no
"برنامج حماية رائع و مفيد و مبتكر و فريد من نوعه",no
"برنامج كشف التجسس و الفيروسات برنامج سريع و خفيف و قوي يكشف لك ملفات التجسس",no
"جهاز يوفر لك حماية كاملة من الفيروسات و ملفات التجسس و اختراق",no
"برنامج من افضل برامج الحماية من ملفات التجسس و السرقة و ملفات الاختراق الخبيثة",no
"برنامج حماية انترنت شامل يعتبر الحل المتكامل فيقوم هذا البرنامج بحماية المستخدم و حاسبه في ان واحد من الاخطار و التهديدات الكثيرة على شبكة الانترنت مثل",no
"استخدام برنامج لمكافحة برامج التجسس و أداة إزالة",no
"للحصول على كلمة السر وايفاي في الاندرويد هو من اشهر برامج الاختراق للوايرلس",Yes
"تنزيل برنامج فتح قفل الواى فاى للاندرويد مجانا",Yes
"اشهر برامج الاختراق للوايرليس للحصول على كلمة السر",Yes
"تحميل برنامج اختراق الوايرلس للاندرويد",Yes
"شرح اختراق المواقع و المنتديات بدون برامج  المصدر شبكة الصاعقة العربية لتعليم الهكرز",Yes
"و لحماية جهازك من الوقوع ضحية لعمليات الاختراق",no   
"كيفية حماية الجهاز من الاختراق",no 
